Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
Avago,1808502,,RS Components,1808502,5630,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1503,,Area51,HLMP-1503,16,,,USD,0.10000,,,,,,,,,,,,,,,
Avago,HLMP1503,,LittleDiode,HLMP1503,1692,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1503,,SIE,HLMP-1503,92,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1503,,Component Sense 24,HLMP-1503,1433,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1503,,EDX,HLMP-1503,271,,,,,,,,,,,,,,,,,,,
Avago,42K5948,,Newark,42K5948,11783,1,,USD,0.10000,0.10000,0.10000,,0.10000,,0.10000,0.10000,0.08600,,,,,,,
Avago,HLMP-1301,,Avnet Express,HLMP-1301,43387,1,,USD,0.43560,0.19800,,0.13530,0.11950,,,0.10070,,,,,,,,
Avago,630-HLMP-1301,,Mouser,630-HLMP-1301,51083,,,USD,0.33000,0.26900,,,0.13800,,,,,,,,,,,
Avago,516-1291-ND,,Digi-Key,516-1291-ND,13556,1,Bulk,USD,0.41000,0.29400,0.24000,,0.19200,,0.16200,0.13800,0.10800,,,,,,,
Avago,HLMP-1301,,Arrow,HLMP-1301,13446,1,,USD,0.10850,,,,,,,,,,,,,,,
Avago,1003196,,element14 APAC,1003196,25940,10,Bulk,SGD,,0.18500,,0.14400,,0.13400,,0.12700,0.12400,,,,,,,
Avago,1003196,,Farnell,1003196,18469,5,,GBP,,,,,0.08600,,,0.07500,0.07100,,,,,,,
Avago,HLMP-1301,,Avnet Express Asia,HLMP-1301,10000,2000,,USD,,,,,,,,,,0.05840,,,,0.05390,,
Avago,HLMP-1301,,Avnet Express Europe,HLMP-1301,0,2000,,EUR,,,,,,,,,,0.09000,,,,,,
Avago,AVAG-0000310,,Chip One Stop,AVAG-0000310,2200,5,,USD,,,0.21400,0.21000,0.20500,,,0.17100,0.16300,,,,,,,
Avago,17511880,,Distrelec,17511880,1337,,,EUR,0.25000,,,,,,,,,,,,,,,
Avago,1780909,,RS Components,1780909,33190,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1301,,Quest,HLMP-1301,418,,,USD,0.42000,,,,,,,,,,,,,,,
Avago,HLMP-1301,,Component Sense 24,HLMP-1301,1346,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1301,,SIE,HLMP-1301,6500,,,,,,,,,,,,,,,,,,,
Avago,HLMP-1301,,Euro-Tech,HLMP-1301,25,,,,,,,,,,,,,,,,,,,
Avago,40K0057,,Newark,40K0057,3141,1,,USD,0.41000,0.29400,0.24000,,0.19200,,0.16200,0.13800,0.10800,,,,,,,
Avago,HLMP-3401,,Arrow,HLMP-3401,9411,1,,USD,0.10850,,,,,,,,,,,,,,,
Avago,516-1331-ND,,Digi-Key,516-1331-ND,9044,1,Bulk,USD,0.42000,0.30000,0.24480,,0.19580,,0.16524,0.14076,0.10800,,,,,,,
Avago,630-HLMP-3401,,Mouser,630-HLMP-3401,7068,,,USD,0.33000,0.26900,,,0.13800,,,,,,,,,,,
